year,value,Upper confidence interval,Lower confidence interval,metric,timeseries,Coastwide,Columbia River North to Canadian border,Newport Line North to Canadian border,Cape Mendocino North to Canadian border,Cape Mendocino South to Mexican border,Point Reyes South to Mexican border,Point Conception South to Mexican border,
2009,19497,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
2010,21288,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
2011,17144,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
1994,0.293176471,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1,0,0,0,0,0,0,
1995,0.223105263,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1,0,0,0,0,0,0,
1996,0.202823529,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1,0,0,0,0,0,0,
1997,0.247333333,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1,0,0,0,0,0,0,
1998,0.2625,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1,0,0,0,0,0,0,
1999,0.270375,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1,0,0,0,0,0,0,
2000,0.30075,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1,0,0,0,0,0,0,
2001,0.277294118,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1,0,0,0,0,0,0,
2002,0.253,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1,0,0,0,0,0,0,
2003,0.230833333,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1,0,0,0,0,0,0,
2004,0.250047619,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1,0,0,0,0,0,0,
2005,0.255941176,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1,0,0,0,0,0,0,
2006,0.236705882,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1,0,0,0,0,0,0,
2007,0.242473684,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1,0,0,0,0,0,0,
2008,0.246833333,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1,0,0,0,0,0,0,
2009,0.259,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1,0,0,0,0,0,0,
2010,0.210555556,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1,0,0,0,0,0,0,
2011,0.233,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1,0,0,0,0,0,0,
2012,0.203235294,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1,0,0,0,0,0,0,
1981,2665,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
1982,2792,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
1983,2858,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
1984,2901,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
1985,2978,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
1986,2958,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
1987,2880,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
1988,2845,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
1989,2803,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
1990,2717,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
1991,2667,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
1992,2602,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
1993,2515,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
1994,2476,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
1995,2324,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
1996,2262,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
1997,2236,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
1998,2456,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
1999,2256,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
2000,2353,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
2001,1976,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
2002,2010,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
2003,1980,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
2004,1941,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
2005,1955,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
2006,1993,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
2007,1986,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
2008,1951,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
2009,2127,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
2010,1911,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
2011,1905,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
2012,1908,NA,NA,Offshore oil & gas wells,Benthic structures,0,0,0,0,0,1,0,
1970,21943512,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1971,22306700,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1972,22521700,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1973,22787600,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1974,23115100,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1975,23485900,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1976,23885700,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1977,24331200,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1978,24883800,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1979,25339900,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1980,25810659,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1981,26436635,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1982,26926817,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1983,27403954,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1984,27858948,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1985,28431230,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1986,29088573,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1987,29766641,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1988,30474083,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1989,31233423,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1990,31991758,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1991,32464425,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1992,32960736,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1993,33269783,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1994,33468431,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1995,33708871,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1996,34044886,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1997,34540266,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1998,35038516,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
1999,35508675,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
2000,36388837,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
2001,36886298,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
2002,37263247,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
2003,37598778,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
2004,37880697,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
2005,38114481,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
2006,38340780,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
2007,38626335,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
2008,39032161,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
2009,39463290,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
2010,39810176,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
2011,40210471,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
2012,40622109,NA,NA,Coastal population,Coastal engineering,1,0,0,0,0,0,0,
2001,14.74704356,NA,NA,Trillions of cubic meters,Commercial shipping activity,1,0,0,0,0,0,0,
2002,15.46077508,NA,NA,Trillions of cubic meters,Commercial shipping activity,1,0,0,0,0,0,0,
2003,15.64507771,NA,NA,Trillions of cubic meters,Commercial shipping activity,1,0,0,0,0,0,0,
2004,16.14786457,NA,NA,Trillions of cubic meters,Commercial shipping activity,1,0,0,0,0,0,0,
2005,16.28907252,NA,NA,Trillions of cubic meters,Commercial shipping activity,1,0,0,0,0,0,0,
2006,17.34986238,NA,NA,Trillions of cubic meters,Commercial shipping activity,1,0,0,0,0,0,0,
2007,16.92649339,NA,NA,Trillions of cubic meters,Commercial shipping activity,1,0,0,0,0,0,0,
2008,16.05205452,NA,NA,Trillions of cubic meters,Commercial shipping activity,1,0,0,0,0,0,0,
2009,13.84191819,NA,NA,Trillions of cubic meters,Commercial shipping activity,1,0,0,0,0,0,0,
2010,13.87851717,NA,NA,Trillions of cubic meters,Commercial shipping activity,1,0,0,0,0,0,0,
2011,14.57620618,NA,NA,Trillions of cubic meters,Commercial shipping activity,1,0,0,0,0,0,0,
1997,15.40825908,NA,NA,Millions of cubic meters,Dredging,1,1,0,0,0,0,0,
1998,12.54759374,NA,NA,Millions of cubic meters,Dredging,1,1,0,0,0,0,0,
1999,16.23346301,NA,NA,Millions of cubic meters,Dredging,1,1,0,0,0,0,0,
2000,20.48315785,NA,NA,Millions of cubic meters,Dredging,1,1,0,0,0,0,0,
2001,19.03698781,NA,NA,Millions of cubic meters,Dredging,1,1,0,0,0,0,0,
2002,13.25334362,NA,NA,Millions of cubic meters,Dredging,1,1,0,0,0,0,0,
2003,14.85630093,NA,NA,Millions of cubic meters,Dredging,1,1,0,0,0,0,0,
2004,14.91705093,NA,NA,Millions of cubic meters,Dredging,1,1,0,0,0,0,0,
2005,10.80486281,NA,NA,Millions of cubic meters,Dredging,1,1,0,0,0,0,0,
2006,8.864836966,NA,NA,Millions of cubic meters,Dredging,1,1,0,0,0,0,0,
2007,16.60936864,NA,NA,Millions of cubic meters,Dredging,1,1,0,0,0,0,0,
2008,12.34582159,NA,NA,Millions of cubic meters,Dredging,1,1,0,0,0,0,0,
2009,23.81776769,NA,NA,Millions of cubic meters,Dredging,1,1,0,0,0,0,0,
2010,27.30088084,NA,NA,Millions of cubic meters,Dredging,1,1,0,0,0,0,0,
2011,21.78149051,NA,NA,Millions of cubic meters,Dredging,1,1,0,0,0,0,0,
2012,32.71492774,NA,NA,Millions of cubic meters,Dredging,1,1,0,0,0,0,0,
1900,9.125299,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1901,9.289352,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1902,14.223279,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1903,14.257817,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1904,106.847897,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1905,110.844378,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1906,228.480308,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1907,228.852819,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1908,509.167734,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1909,509.403329,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1910,599.853319,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1911,1117.749171,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1912,1437.554007,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1913,1448.282832,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1914,1982.056062,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1915,2321.004536,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1916,2893.858171,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1917,3108.645597,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1918,3124.81901,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1919,3334.140878,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1920,3412.866623,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1921,4537.300032,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1922,4544.572641,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1923,4574.764576,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1924,4676.773524,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1925,5244.897989,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1926,5855.018811,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1927,8105.22519,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1928,9417.086164,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1929,9538.809852,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1930,9650.250002,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1931,10443.69706,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1932,11842.08802,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1933,12889.05754,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1934,12889.69895,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1935,12969.88267,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1936,12986.78507,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1937,13744.51913,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1938,13780.03724,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1939,13993.05338,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1940,14091.03748,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1941,14091.05598,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1942,25896.25303,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1943,25896.44915,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1944,25896.72545,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1945,26200.93414,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1946,27306.82092,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1947,27307.14903,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1948,28452.99568,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1949,32768.84378,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1950,33382.98391,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1951,35963.52227,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1952,38814.81915,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1953,41271.52396,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1954,46887.39284,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1955,48453.06861,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1956,53089.69106,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1957,57415.67592,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1958,59196.21189,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1959,93076.67444,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1960,93808.91983,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1961,95276.86806,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1962,97193.22271,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1963,101185.7999,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1964,105393.8861,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1965,107402.7346,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1966,108488.9609,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1967,112218.3057,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1968,118429.3579,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1969,123403.7743,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1970,130892.7976,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1971,131359.5397,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1972,131371.5514,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1973,131553.4641,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1974,164149.9103,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1975,165461.601,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1976,165477.9409,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1977,165643.1338,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1978,165976.0184,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1979,166498.3043,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1980,166652.8238,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1981,166729.6216,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1982,166820.8018,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1983,169848.9195,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1984,169851.3026,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1985,169881.8078,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1986,169973.511,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1987,170468.7207,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1988,170644.1761,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1989,170672.915,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1990,171497.6394,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1991,171499.1751,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1992,171524.7107,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1993,171544.7547,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1994,171566.501,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1995,171568.6915,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1996,171571.5964,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1997,171573.0756,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1998,171573.6134,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1999,172689.6962,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
2000,172869.5797,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
2001,172870.0238,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
2002,172870.2869,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
2003,172870.6421,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
2004,172871.1478,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
2005,172871.7288,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
2006,172871.7288,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
2007,172929.4619,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
2008,172930.4512,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
2009,172931.2061,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
2010,172931.2061,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
2011,172931.2394,NA,NA,Millions of cubic meters,Freshwater retention,1,0,0,0,0,0,0,
1988,0.380145056,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
1989,-0.255814798,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
1990,0.143325373,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
1991,-0.183150025,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
1992,-0.24442919,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
1993,-1.213091383,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
